IMU_Map_Downsample,ave_match,ave_solve,ave_ICP,map_incre,ave_total,icp,construct_H
0.001568,0.004222,0.000525,0.004046,0.000307,0.007102,0.004765,9.1e-05
0.001577,0.004219,0.000524,0.004145,0.000361,0.007098,0.004762,9.1e-05
0.001613,0.004217,0.000524,0.004274,0.000363,0.007095,0.00476,9.1e-05
0.001551,0.004216,0.000524,0.00449,0.000568,0.007093,0.004759,9.1e-05
0.001662,0.004215,0.000524,0.004464,0.000454,0.007091,0.004757,9.1e-05
0.001619,0.004214,0.000523,0.004476,0.000547,0.007089,0.004756,9.1e-05
0.001573,0.004214,0.000523,0.004689,0.00059,0.007088,0.004756,9.1e-05
0.001605,0.004215,0.000523,0.005146,0.000886,0.00709,0.004757,9.1e-05
0.001689,0.004219,0.000523,0.005889,0.000791,0.007095,0.004761,9.1e-05
0.001592,0.00422,0.000523,0.005043,0.000767,0.007096,0.004762,9.1e-05
0.001731,0.004221,0.000523,0.005167,0.000564,0.007098,0.004763,9.1e-05
0.001622,0.004222,0.000523,0.005179,0.000638,0.007099,0.004764,9.1e-05
0.00154,0.004225,0.000523,0.005433,0.000551,0.007101,0.004766,9.1e-05
0.001478,0.004226,0.000523,0.005032,0.000665,0.007101,0.004767,9.1e-05
0.001505,0.004228,0.000522,0.005186,0.000594,0.007102,0.004769,9.1e-05
0.001414,0.004229,0.000522,0.005026,0.000851,0.007102,0.004769,9.1e-05
0.001434,0.004231,0.000522,0.00535,0.000737,0.007104,0.004771,9.1e-05
0.001316,0.004231,0.000522,0.004851,0.000509,0.007102,0.004771,9.1e-05
0.00125,0.004231,0.000521,0.004813,0.000567,0.0071,0.004771,9.1e-05
0.001213,0.00423,0.000521,0.004355,0.001245,0.007099,0.004769,9.1e-05
0.001261,0.004245,0.000521,0.009173,0.001162,0.007116,0.004785,9e-05
0.001314,0.004245,0.000521,0.004499,0.000722,0.007114,0.004784,9e-05
0.001381,0.004246,0.000521,0.005214,0.000535,0.007114,0.004785,9e-05
0.001415,0.004251,0.00052,0.00613,0.000676,0.007118,0.00479,9e-05
0.001451,0.004254,0.00052,0.005666,0.001107,0.007122,0.004793,9e-05
0.001517,0.004255,0.00052,0.005022,0.000695,0.007122,0.004793,9e-05
0.001608,0.004259,0.000522,0.006782,0.00091,0.00713,0.0048,9.2e-05
0.001483,0.004267,0.000523,0.007247,0.000858,0.007139,0.004809,9.2e-05
0.00152,0.004276,0.000523,0.007195,0.000701,0.007147,0.004817,9.2e-05
0.001427,0.00428,0.000523,0.006029,0.000775,0.007151,0.004821,9.2e-05
